"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"39017","433","Knife","","Private Collection,1923,Lord Howard de Walden,Belgrave Square, SW","","",,,"","None","None","None","251","blade 43.5; socket band 19","","141.75","Streaky grey green. Gold bronze shows along back.","Smooth, pitted.","17, 20.5, 7, 2.5","","","","The socket is round and broken away.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17312317744","https://farm8.staticflickr.com/7661/17312317744_1d785fdfb3_m.jpg","superuser",,,"ForeignUnprov"
"39018","580","Knife","","Private Collection, 1923,Lord Howard de Walden, Belgrave Square, SW.","","",,,"","None","None","None","291","blade 34,tang 14; 6.5","","113.39","medium green matte.","smooth. one side almost covered with ligt earth.","blade 2.5,tang 14; 6.5","","","","very well preserved.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17748325340","https://farm6.staticflickr.com/5441/17748325340_82cd0f2fc6_m.jpg","superuser",,,"ForeignUnprov"
"39019","580","Pin","","Museum of Archaeology & Ethnology, Cambridge.","","",,,"","None","None","None","85","head 5.5","","5","dark brown patina & metal showing through.","corroded","","","","","Pin with small nail like head, finely decorated with lines of dots divided by long grooves. They all spring from a central dot on top of the head.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17746956748","https://farm9.staticflickr.com/8772/17746956748_02052a0a23_m.jpg","superuser",,,"ForeignUnprov"
"39020","433","Pin","","Museum of Archaeology + Ethnology, Cambridge","","",,,"","None","None","None","125","head 15","","20","A little black, mostly bright metal.","Smooth + shiny.","","","","","Large solid head, orange shaped with round flat disc on top + slight basal moulding.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17931731222","https://farm8.staticflickr.com/7765/17931731222_0e563a17bf_m.jpg","superuser",,,"ForeignUnprov"
"39021","433","Pin with double ring","","Museum of Archaeology + Ethnology, Cambridge,No. 354 (this number is not in the Murray Catalogue)","","",,,"","None","None","None","Pin 71.5; Ring 44","Width of ring 25 outside; 17 inside","","22","Very dark patina of grey + green.","Corroded","","","","","Pin with squared shank turned round upon itself, to form loop which holds a double ring shaped like a figure of eight. Flattened behind, rounded in front.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17312432554","https://farm6.staticflickr.com/5468/17312432554_53a9472572_m.jpg","superuser",,,"ForeignUnprov"
"39022","433","Pin","","Private Collection,F. Ransom Esq., Hitchin","","",,,"","None","None","None","131","head 15.25 x 15","","24.8","No patina","Smooth. Dull golden bronze colour","pin nearly 4","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17935797445","https://farm9.staticflickr.com/8870/17935797445_1fd05f24a3_m.jpg","superuser",,,"ForeignUnprov"
"39023","433","Pin","","Private Collection,F. Ransom Esq., Hitchin","","",,,"","None","None","None","136.5","head 15.5 x 16","","15.91","No patina","Smooth, a dark bronze colour.","4","","","","There are 4 holes in head, ringed with 3 lines + 4 at the top (without a hole).","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17935842981","https://farm8.staticflickr.com/7724/17935842981_f262e7e483_m.jpg","superuser",,,"ForeignUnprov"
"39024","433","Pin","","Private Collection,F. Ransom Esq., Hitchin","","",,,"","None","None","None","208","4.5 where decorated, head 8.5 x 9","","17.71","No patina.","Smooth. Dark brassy golden bronze colour.","3","","","","Look as if it has been cleaned with acid.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17748138288","https://farm8.staticflickr.com/7660/17748138288_f903c235ca_m.jpg","superuser",,,"ForeignUnprov"
"39025","433","Pin","","Private Collection,A.B. Cook, Esq., MA,Curator of the Fitzwilliam Museum of Classical Archaeology, Cambridge + reader in Classical Archaeology: at his residence - 19 Cranmer Road.","Bought at Athens 1901. Said to have come from a Mycenaean Tomb. Provenance not known.,Bought in Athens in 1901; said to come from a Mycenaen tomb.","",,,"","None","None","None","169","","","9.5","","Slightly corroded + dark green.","","","Bronze","","A band of three rings above and below bulb. Looks as though a head of some other material had been attached.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17748198670","https://farm6.staticflickr.com/5330/17748198670_1dd2120409_m.jpg","superuser",,,"ForeignUnprov"
"39026","433","Pin","H","British Museum, WG 1204","?France","France","46.227638","2.213749000000007","","None","None","None","","","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17909585576","https://farm8.staticflickr.com/7796/17909585576_4fd9a6f820_m.jpg","superuser",2.2137,46.2276,"ForeignUnprov"
