"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"40271","433","Pin","","Mr. Bushnell, Cheltenham","Switzerland,Port-Alban on Lake Neuchatel,From a lake dwelling.,Bronze hairpin (perhaps gilt) from Swiss lake dwelling at Portalban","Portalban, 1568, Switzerland","46.91404","6.955010000000016","","None","None","None","178","","","11","","Smooth + clean","","","Bronze","","","","Nothing further known, the ""perhaps gilt"" appearance has quite the look of gold - in patches - but has not been tested.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343951601","https://farm9.staticflickr.com/8898/18343951601_96675eb5e7_m.jpg","superuser",6.955,46.914,"ForeignTools"
"40272","433","Pin","","Mr. Bushnell, Cheltenham","Switzerland,From a lake,""Found in Swiss lake""","Switzerland","46.818188","8.227511999999933","","None","None","None","105","","","7","Light","Smooth","","","Bronze","","","","Nothing more known","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154644458","https://farm8.staticflickr.com/7734/18154644458_d0eb277fbd_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40273","433","Pin","","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,Late of Roebuck Hall, Co. Dublin,Sold  by Auction at Sotheby's, 9.11.21,Lot 115","Switzerland,Swiss Lake Dwellings,Onnens,?Concise","Onnens, Switzerland","46.8396252","6.686404799999991","","None","None","None","126","head 12.5 x 13.5","","","No patina.","Smooth. Pin is dark golden bronze. Head is of lead - dark grey colour with earth adhering.","slightly over 2","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17719869204","https://farm8.staticflickr.com/7773/17719869204_7d3644bf94_m.jpg","superuser",6.6864,46.8396,"ForeignTools"
"40274","433","Pin","","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,Late of Roebuck Hall, Co. Dublin,Sold by auction at Sotheby's, 9.11.21,Lot 115","Switzerland,Swiss Lake Dwellings,Onnens,?Concise","Onnens, Switzerland","46.8396252","6.686404799999991","","None","None","None","163","coils 37","","","Traces of dull light green powdery patina on the coils.","Smooth. Dark golden bronze + dark brown stains.","3.5 stem, 5 coils","","","","The coils are pliable.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343951251","https://farm9.staticflickr.com/8810/18343951251_d945e1e935_m.jpg","superuser",6.6864,46.8396,"ForeignTools"
"40275","433","Badkin","","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,Late of Roebuck Hall, Co. Dublin,Sold by Auction at Sotheby's, 9.11.21, Lot 115.","Switzerland,Swiss Lake Dwgs.,Onnens,?Concise","Onnens, Switzerland","46.8396252","6.686404799999991","","None","None","None","52","","","","","Smooth - Slightly corroded. Dull greyish green, almost a brown - not patinated.","3.5","","","","A conical point at one end - the other, is rounded. Almost round in section.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18316050016","https://farm8.staticflickr.com/7772/18316050016_70ac8675dd_m.jpg","superuser",6.6864,46.8396,"ForeignTools"
"40276","433","Pin","","Christie's Sale, 14.7.24, 52,Late Earl of Northesk (Rose Collection)","Switzerland,Swiss Lakes","Switzerland","46.818188","8.227511999999933","","None","None","None","147","","","","","Outer covering removed (where shaded) showing golden bronze.","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343950961","https://farm1.staticflickr.com/453/18343950961_65b32d8c79_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40277","433","Pin","","Christie's Sale, 14.7.4; 52,Late Earl of Northesk (Rosehill Collection)","Switzerland,Swiss Lakes","Switzerland","46.818188","8.227511999999933","","None","None","None","62","head 6.5","","","No patina","Dull bronze, clean","","","","","About 3/4 of the pin is squarish + circular at end near head. Slightly bent at point end.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154754590","https://farm8.staticflickr.com/7770/18154754590_8728984667_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40278","433","Pin","","Christie's Sale, 14/7/25; 52,Late Earl of Northesk (Rosehill Collection)","Switzerland,Swiss Lakes","Switzerland","46.818188","8.227511999999933","","None","None","None","102","head 3.5","","","","Clean dark golden bronze","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156294479","https://farm9.staticflickr.com/8830/18156294479_22964dff58_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40279","433","Pin","","Horniman Museum, Forest HIll, SE,Bought of Gregory","Switzerland,Swiss Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","133","of head 18","","21.26","No patina.","Smooth, head half covered with whitish earth, holes are filled with this. There is also some on stem.","3","","Bronze","","Ball shaped head with 4 holes.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156294269","https://farm8.staticflickr.com/7799/18156294269_27412a769c_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40280","433","Pin","","Horniman Museum,Forest Hill, SE,Bought from Gregory","Switzerland,Swiss Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","113","width of ball top 15.5","","21.26","No patina","Smooth - golden bronze colour","3","","Bronze","","Ball shaped head","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156294179","https://farm8.staticflickr.com/7762/18156294179_e5244be8be_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
